역이름,Y,X,호선
남영역,37.54055856,126.9713276,01호선
용산역,37.53006915,126.964815,01호선
노량진역,37.51357125,126.9408887,01호선
대방역,37.51334692,126.9264787,01호선
영등포역,37.51567647,126.9078579,01호선
신도림역,37.50890487,126.891308,01호선
회기역,37.5897782,127.0580393,01호선
외대앞역,37.59626243,127.0636834,01호선
신이문역,37.60177445,127.0673799,01호선
광운대역,37.62383376,127.0616906,01호선
월계역,37.63325953,127.0588435,01호선
녹천역,37.64463345,127.0513741,01호선
창동역,37.65332049,127.0476405,01호선
신길역,37.51678342,126.9183536,01호선
석계역,37.61500193,127.0656702,01호선
봉명역,36.80141984,127.1360336,01호선
쌍용역,36.79372219,127.1213648,01호선
아산역,36.79460339,127.1043579,01호선
배방역,36.7776965,127.0527836,01호선
구로역,37.50332802,126.8822911,01호선
가산디지털단지역,37.48038874,126.8826437,01호선
금천구청역,37.45617995,126.8935996,01호선
독산역,37.46596115,126.8894711,01호선
세류역,37.24387252,127.0137952,01호선
군포역,37.35418507,126.9485085,01호선
병점역,37.20674549,127.0331869,01호선
세마역,37.18711726,127.0434268,01호선
오산대역,37.16933963,127.0630757,01호선
송탄역,37.07570545,127.0542715,01호선
서정리역,37.05654929,127.0528637,01호선
평택역,36.99096795,127.0852821,01호선
성환역,36.91612238,127.1268778,01호선
직산역,36.87092205,127.1438058,01호선
두정역,36.83359183,127.1490719,01호선
천안역,36.80899436,127.1468277,01호선
당정역,37.343679,126.9483577,01호선
서동탄역,37.19572794,127.0518568,01호선
광명역,37.41643692,126.8847995,01호선
개봉역,37.49463448,126.8586934,01호선
오류동역,37.49438279,126.8448075,01호선
역곡역,37.48530715,126.8120593,01호선
부천역,37.48397806,126.7830727,01호선
송내역,37.4876132,126.7530306,01호선
부평역,37.48944182,126.7243266,01호선
백운역,37.48332803,126.7072764,01호선
주안역,37.46503882,126.6799476,01호선
제물포역,37.46672224,126.6569483,01호선
동인천역,37.47540683,126.6326025,01호선
인천역,37.47614957,126.6168166,01호선
구일역,37.4962509,126.8696821,01호선
오산역,37.14470276,127.0666121,01호선
진위역,37.11006822,127.0623515,01호선
동암역,37.47068493,126.7028717,01호선
소사역,37.48279309,126.7956262,01호선
부개역,37.48846983,126.7407256,01호선
간석역,37.46469636,126.6935134,01호선
도원역,37.46876979,126.6425148,01호선
온수역,37.49195669,126.8238253,01호선
중동역,37.48666358,126.7645216,01호선
도화역,37.46610669,126.6685715,01호선
방학역,37.66743116,127.0443172,01호선
도봉역,37.67919749,127.0455258,01호선
도봉산역,37.68955853,127.0460537,01호선
망월사역,37.71020835,127.0474047,01호선
회룡역,37.72379508,127.0472772,01호선
의정부역,37.73835529,127.0459477,01호선
가능역,37.74839272,127.0442746,01호선
녹양역,37.75938526,127.0422612,01호선
양주역,37.77412414,127.0447213,01호선
덕계역,37.81875259,127.0566735,01호선
덕정역,37.84318405,127.0615548,01호선
지행역,37.89187431,127.0556609,01호선
동두천중앙역,37.90176632,127.0564187,01호선
보산역,37.91414493,127.057156,01호선
동두천역,37.92760607,127.0549143,01호선
종로3가역,37.57042084,126.9921442,01호선
종로5가역,37.57096169,127.0015395,01호선
동대문역,37.571664,127.010618,01호선
신설동역,37.57602276,127.0244522,01호선
제기동역,37.57816449,127.0349359,01호선
청량리역,37.58071852,127.0484998,01호선
동묘앞역,37.57321306,127.0163461,01호선
소요산역,37.94888318,127.0611195,01호선
지제역,37.01876739,127.0698282,01호선
서울역,37.55331631,126.9697383,01호선
시청역,37.56533728,126.9771812,01호선
종각역,37.57022168,126.9831338,01호선
낙성대역,37.47708963,126.9635058,02호선
서울대입구역,37.4812845,126.9526951,02호선
강변역,37.53511805,127.094723,02호선
영등포구청역,37.52583052,126.8966683,02호선
잠실새내역,37.51160835,127.0863007,02호선
당산역,37.5347735,126.9026073,02호선
충정로역,37.55974797,126.9644842,02호선
종합운동장역,37.51113026,127.0738359,02호선
합정역,37.54990144,126.9144473,02호선
홍대입구역,37.55686353,126.923765,02호선
삼성역,37.50881193,127.0630209,02호선
신답역,37.56983509,127.0470665,02호선
선릉역,37.50449378,127.0489481,02호선
신정네거리역,37.5202159,126.852876,02호선
역삼역,37.50066001,127.0364604,02호선
강남역,37.49808544,127.0279777,02호선
교대역,37.49273596,127.0138634,02호선
방배역,37.48145613,126.9975353,02호선
사당역,37.47655322,126.9815495,02호선
봉천역,37.48246891,126.941682,02호선
신림역,37.48426443,126.9297409,02호선
